dataset,filename,method,brightness,contrast,entropy,colorfulness,sharpness,noise,niqe,brisque,musiq,maniqa,clipiqa
DICM,01.JPG,clahe,0.1443200204886642,0.19950231058621135,5.205528259277344,0.1879094217639458,0.03996606458523817,0.016031687625985808,13.015370103156219,17.99969482421875,53.843894958496094,0.41156888008117676,0.4859353005886078
DICM,01.JPG,gamma,0.14705260033700981,0.19702747991263372,5.449620246887207,0.19622968674150004,0.0250996185501988,0.0141288138277326,7.275921991613015,12.06805419921875,56.03773880004883,0.4096844494342804,0.4142824709415436
DICM,01.JPG,log,0.10942430683210784,0.18916430130637507,4.869740009307861,0.20026019216262406,0.027722229026841634,0.011876950323746424,7.1333356115087465,13.07537841796875,53.581886291503906,0.42859333753585815,0.44093409180641174
DICM,01.JPG,retinex,0.6996805228439031,0.15229866393448965,6.505725860595703,0.33475287425321393,0.2388718499470379,0.06570445416598815,9.40825237553955,58.14715576171875,49.26860427856445,0.25979292392730713,0.6611936092376709
DICM,01.JPG,hist_eq,0.5566560633042279,0.21946593540739845,5.463009834289551,0.3043489139055978,0.1426054976232599,0.056583768315810516,10.616871356452775,53.19647216796875,45.10472869873047,0.3152506947517395,0.6901435256004333
DICM,02.JPG,clahe,0.31741470636106006,0.2699277025804049,7.448119163513184,0.09174196910950862,0.0700039244887463,0.03472128877376105,4.919150086373235,16.79119873046875,58.7515869140625,0.4352101981639862,0.822056233882904
DICM,02.JPG,gamma,0.34971941779641547,0.266413954129069,7.562040328979492,0.08443369794091578,0.028038637307857446,0.0212873055018216,4.111039628650248,11.39862060546875,59.95402908325195,0.4313126504421234,0.7917041182518005
DICM,02.JPG,log,0.2985416786343444,0.2717412636224373,7.3400187492370605,0.09155121926793754,0.03128394521940435,0.021513667594298038,4.0642124129239825,10.02459716796875,59.09281539916992,0.44834405183792114,0.7987915277481079
DICM,02.JPG,retinex,0.8504542332069547,0.0931159641599551,6.055893421173096,0.21138241609786615,0.024259247062255164,0.015553594837669249,5.134235502029505,13.35906982421875,37.64690017700195,0.3154454529285431,0.5743715167045593
DICM,02.JPG,hist_eq,0.5002832749310662,0.28497989795598494,7.7766265869140625,0.0747693881237174,0.03396404999360207,0.025587931318900244,5.2084302131460545,15.33953857421875,53.026329040527344,0.4060497283935547,0.6778879761695862
DICM,03.JPG,clahe,0.26315205891927085,0.24055229830018263,7.20148229598999,0.1305116278649708,0.02316606381794195,0.015577744529159611,3.290411318868714,20.69305419921875,50.96659469604492,0.346774160861969,0.5247217416763306
DICM,03.JPG,gamma,0.2826746921913297,0.24233717605431945,7.318120956420898,0.13374446256032319,0.009419234269547466,0.010098557900557099,3.3193181301277037,19.68182373046875,51.873497009277344,0.32399898767471313,0.5453301668167114
DICM,03.JPG,log,0.2295272527956495,0.24522610067947936,7.1060614585876465,0.13633119502814262,0.00992037241935074,0.009216954494173393,3.4578590674653586,16.41815185546875,49.17452621459961,0.3211008906364441,0.49380263686180115
DICM,03.JPG,retinex,0.7944724288641237,0.10710192059667105,6.196051120758057,0.3332950257773138,0.04427125534944319,0.022789030323762248,7.55409088970185,48.08123779296875,37.23154830932617,0.27711716294288635,0.5461129546165466
DICM,03.JPG,hist_eq,0.49227588129978556,0.2847486150778189,7.5278496742248535,0.1552251270029019,0.018988320218715694,0.01792752728697001,4.1299437405108055,23.54852294921875,46.839149475097656,0.31130024790763855,0.4946117401123047
DICM,04.JPG,clahe,0.46610939175474875,0.29216841557264817,7.641510009765625,0.07836657119992912,0.017319918577911986,0.014302127859721792,4.145125479567945,14.42987060546875,63.44063186645508,0.4597173035144806,0.6008462309837341
DICM,04.JPG,gamma,0.502368044385723,0.32455294297321696,7.210537433624268,0.08606615291136863,0.00673971323162154,0.007685315543341428,5.94656504121355,13.85614013671875,61.46647262573242,0.4232443571090698,0.5370796322822571
DICM,04.JPG,log,0.45324689079733455,0.35345712078073305,7.182566165924072,0.0844100786368677,0.007174611427964086,0.007601947050005088,5.503303789791036,13.57879638671875,60.34800720214844,0.4182058274745941,0.5412013530731201
DICM,04.JPG,retinex,0.8921515969669118,0.05812949828363632,5.1138386726379395,0.094875535951303,0.009455242957153581,0.005342871650768375,9.665744484476804,31.42254638671875,51.86329650878906,0.29889050126075745,0.5505328178405762
DICM,04.JPG,hist_eq,0.5037501914828432,0.2899676674231798,7.763291835784912,0.07356194856178519,0.01768883751661247,0.013629009171672337,4.8261317600045155,12.90789794921875,58.48180389404297,0.4383765459060669,0.5840128064155579
DICM,05.JPG,clahe,0.46476554122625613,0.29221528681375575,7.633489608764648,0.237587020765493,0.008038877390811319,0.008229965998741312,6.195466957959886,12.08026123046875,48.27776336669922,0.4054444134235382,0.7474963665008545
DICM,05.JPG,gamma,0.5397577023973652,0.3141923221303286,7.563299655914307,0.18274540880008153,0.002724064287197121,0.004687427184882213,8.08329730273024,21.12664794921875,41.586692810058594,0.3951628506183624,0.6907405257225037
DICM,05.JPG,log,0.49815105363434437,0.3339983845311006,7.538209438323975,0.20900266834784598,0.0027010062174754835,0.004407915455929093,8.747630453496756,24.31658935546875,42.731231689453125,0.39936819672584534,0.7075719833374023
DICM,05.JPG,retinex,0.9188587861902574,0.05630042403989109,5.0343122482299805,0.10533630849506362,0.004329826809803897,0.0037751478296863526,10.937619206678175,43.97967529296875,40.18971252441406,0.2665445804595947,0.5000228881835938
DICM,05.JPG,hist_eq,0.5047999363319546,0.2876539033981016,7.731359004974365,0.13245955332966305,0.003837455408414915,0.006743858485177717,5.73561697832958,16.06463623046875,41.7078857421875,0.3713025748729706,0.5182110071182251
DICM,06.JPG,clahe,0.21521133722043506,0.18796342761593549,6.741973876953125,0.1176295656979815,0.024123001134138365,0.01298956292412364,6.916350743572133,34.22088623046875,52.25675582885742,0.38715019822120667,0.4106071889400482
DICM,06.JPG,gamma,0.2027034983915441,0.14234310411878226,6.628199577331543,0.11484284638696278,0.011048257642514039,0.008882540942925675,5.646966967576546,26.67645263671875,54.24050521850586,0.36223024129867554,0.43873611092567444
DICM,06.JPG,log,0.14283124138327205,0.12994107965945342,6.300718307495117,0.1199908466714314,0.010233570739930522,0.00759115460112664,6.145561129604982,23.45574951171875,53.28717803955078,0.3572436273097992,0.4272051453590393
DICM,06.JPG,retinex,0.7947086109834559,0.061447896781668614,5.707072734832764,0.19339149237901118,0.008412704413315594,0.011155735404695132,5.032120042777158,19.25506591796875,46.00952911376953,0.3034670352935791,0.3593839108943939
DICM,06.JPG,hist_eq,0.5093602797564338,0.27799687790188765,7.384737968444824,0.10327270335365225,0.04272695011373714,0.02311544476584123,4.888164365718124,29.37567138671875,47.99705505371094,0.36706188321113586,0.4409359097480774
DICM,07.JPG,clahe,0.43934930539598654,0.2905921367773971,7.5395827293396,0.20419081903373407,0.009006394948316211,0.009728516571011822,4.118074077186083,18.99627685546875,57.195594787597656,0.56034916639328,0.7523064017295837
DICM,07.JPG,gamma,0.5286763509114584,0.3300851797754753,7.417081356048584,0.16544140530707177,0.005092726717575932,0.006114595230570802,5.41710167179412,22.36834716796875,55.37483215332031,0.5465563535690308,0.7921852469444275
DICM,07.JPG,log,0.4926005643956802,0.3444448136686937,7.334586143493652,0.18290275713617166,0.005515847591388225,0.0056489201069637954,4.853585358989685,24.94207763671875,55.59270095825195,0.5705089569091797,0.7967135310173035
DICM,07.JPG,retinex,0.8845991546032476,0.08067178836162384,5.270561218261719,0.181711688596593,0.017393671638077726,0.009219468499912136,10.61418447802564,44.54949951171875,52.79655075073242,0.3860195279121399,0.6389631628990173
DICM,07.JPG,hist_eq,0.5001310460707721,0.2834643093012263,7.804751396179199,0.16231760196085923,0.007159872274918883,0.009180641077947084,4.6067227438192475,14.57000732421875,54.75191879272461,0.5361836552619934,0.7412497401237488
DICM,08.JPG,clahe,0.10768791647518382,0.15795223089439592,4.96743631362915,0.08236104556962284,0.05778242133658054,0.02292338996379958,9.854466172130211,31.47332763671875,51.44530487060547,0.45076093077659607,0.4562011659145355
DICM,08.JPG,gamma,0.10303787530637255,0.13955109034774807,5.425789833068848,0.09193954124528735,0.036686994922341995,0.020018672181658075,7.054751861099793,26.16229248046875,48.638362884521484,0.4429105222225189,0.422382652759552
DICM,08.JPG,log,0.06671352012484681,0.12472715798232117,4.697652816772461,0.08839219128245104,0.03692515408347394,0.016922407477422137,7.430554375542297,20.53143310546875,46.48333740234375,0.4521333575248718,0.46615177392959595
DICM,08.JPG,retinex,0.6857971789790135,0.20885060722092672,6.60171365737915,0.3585790626850383,0.3398726053578906,0.08018746346891274,6.3723221282743,71.53582763671875,42.039756774902344,0.4060922861099243,0.5557286143302917
DICM,08.JPG,hist_eq,0.5037199730966605,0.2627346282606921,5.606100082397461,0.22994067543728142,0.13945828268844784,0.06079876557378769,7.239477628336108,64.75506591796875,39.003173828125,0.34508877992630005,0.6370807886123657
DICM,09.JPG,clahe,0.3584639006969976,0.2300069078331775,7.6331048011779785,0.0668329774967446,0.04667240471627115,0.029021402914093615,3.4550512299657994,15.24969482421875,54.905311584472656,0.47401055693626404,0.7258325815200806
DICM,09.JPG,gamma,0.38183180865119487,0.2238472670516094,7.527623176574707,0.0772136509551272,0.014100450222612842,0.014863487565385249,2.9990671683856607,10.78778076171875,58.60749816894531,0.46112358570098877,0.6475324630737305
DICM,09.JPG,log,0.33570293351715685,0.24493758811440855,7.52567195892334,0.07843060157149272,0.015781134380051284,0.015496915435559377,3.21826560300264,10.55731201171875,58.62541961669922,0.47509703040122986,0.728766143321991
DICM,09.JPG,retinex,0.8906920788334866,0.061243452236376325,5.42963981628418,0.11945016478617412,0.0083191623086427,0.008099059942345077,6.039101841798943,4.12078857421875,40.42049789428711,0.28875237703323364,0.45221829414367676
DICM,09.JPG,hist_eq,0.5023276534734987,0.2869368968630941,7.965394020080566,0.08268400973130997,0.03470835947720223,0.02364605234070045,3.2151715284479794,12.85028076171875,49.52682113647461,0.4369836449623108,0.6883348226547241
DICM,10.JPG,clahe,0.48689276003370097,0.2375925661491246,7.69770622253418,0.22340775691378487,0.02137954794045184,0.013820073607816907,5.680851536958314,3.84149169921875,55.227630615234375,0.3662745952606201,0.4662318229675293
DICM,10.JPG,gamma,0.5468098958333333,0.25559950536510695,7.273913860321045,0.17428089096490743,0.010739234436513919,0.007904008648614824,6.787045421309484,10.73699951171875,53.14227294921875,0.3468869626522064,0.4548850655555725
DICM,10.JPG,log,0.4980311973422181,0.28019984386376073,7.346126556396484,0.19471484703868946,0.012339553986828214,0.008255207632118199,6.829714906878783,11.33758544921875,53.635520935058594,0.3582566976547241,0.4357026219367981
DICM,10.JPG,retinex,0.9269627589805454,0.03532092249091129,4.470261573791504,0.04219463893379824,0.0014398553737706688,0.0025255092195488912,9.310721513785083,43.58074951171875,33.36634826660156,0.20074696838855743,0.33339929580688477
DICM,10.JPG,hist_eq,0.5038846483417586,0.284291235349773,7.945735931396484,0.1391523288911699,0.017371685859639455,0.01190404571893067,5.567628470939858,6.44647216796875,48.992759704589844,0.3593458831310272,0.3303243815898895
DICM,11.JPG,clahe,0.36445198807061885,0.24919238957617496,7.581942558288574,0.1249501534947398,0.01855470401032619,0.015317557632198253,3.989690224295374,14.43280029296875,55.059349060058594,0.5254244804382324,0.7822741866111755
DICM,11.JPG,gamma,0.46733757467830883,0.25888412311814973,7.29638671875,0.12729603268906475,0.0063862678792144315,0.00885978792129017,3.752908437307736,6.42889404296875,55.63310623168945,0.5398085713386536,0.7110523581504822
DICM,11.JPG,log,0.41617820590150123,0.27388503400982633,7.287885665893555,0.13424159790909784,0.007144087527927637,0.008753463254339436,3.846803532684628,7.75701904296875,53.351810455322266,0.5386505126953125,0.7315812110900879
DICM,11.JPG,retinex,0.919041233436734,0.0488200592075431,5.26420783996582,0.0643106574491689,0.0013961614616808183,0.003962174620250514,5.740326346565151,24.42938232421875,51.421653747558594,0.4239916503429413,0.7318384647369385
DICM,11.JPG,hist_eq,0.5046356201171875,0.28570828985237734,7.9645586013793945,0.051958952356758084,0.013577651450341021,0.014908815850674731,4.473870594299725,10.62078857421875,49.60669708251953,0.513404130935669,0.690018892288208
DICM,12.JPG,clahe,0.06916599647671569,0.09740706269766207,3.6440093517303467,0.03220652304179306,0.007449871509811085,0.007306970376659085,9.186777769242555,23.04364013671875,40.06958770751953,0.30190402269363403,0.4908028542995453
DICM,12.JPG,gamma,0.062346634210324756,0.08757964152387036,3.8803982734680176,0.04395754454395733,0.004813559126826444,0.008337281031589126,6.353773661218018,4.53485107421875,37.87152099609375,0.25110042095184326,0.6662077307701111
DICM,12.JPG,log,0.033470841950061274,0.07081062907448397,3.2653183937072754,0.038268865905527,0.003482827435762137,0.004335948867407867,5.349400152234835,21.09197998046875,35.76425552368164,0.26470258831977844,0.6306447386741638
DICM,12.JPG,retinex,0.6703859217026654,0.15150512911433547,6.275035381317139,0.42457969553674973,0.2705007416172034,0.0761379334977402,6.674249668896155,61.55731201171875,47.99836349487305,0.27271997928619385,0.4901697337627411
DICM,12.JPG,hist_eq,0.5891180300245098,0.19777740511533184,3.90897798538208,0.3455914374776647,0.21752258387775944,0.07575692196133495,6.327690170331793,52.01580810546875,51.9599494934082,0.20266841351985931,0.5267673134803772
DICM,13.JPG,clahe,0.10099499272365196,0.14611401127578644,4.856645107269287,0.05418107887438533,0.014395794893787893,0.011232653822701767,4.649552008056286,41.39471435546875,48.269371032714844,0.2603418827056885,0.665534257888794
DICM,13.JPG,gamma,0.09469203574984682,0.13249631169277373,4.980659484863281,0.06026587453318314,0.008801912005370578,0.010256559352137576,4.422152553132133,47.99432373046875,47.77637481689453,0.24716578423976898,0.7460060715675354
DICM,13.JPG,log,0.06167063993566176,0.11295747341508892,4.486308574676514,0.058449122627543273,0.007668530886007422,0.006339509865197656,4.050506287929328,9.71502685546875,47.99809265136719,0.2665575444698334,0.7544130682945251
DICM,13.JPG,retinex,0.6099691951976103,0.2844913304385218,6.865694046020508,0.3827485425854146,0.5699784549281269,0.11495095706628786,7.964504972878393,75.01483154296875,46.0949821472168,0.1925007551908493,0.5894564986228943
DICM,13.JPG,hist_eq,0.4360753078086703,0.29478616865716717,5.083770751953125,0.22845417496207876,0.18950293864196568,0.0714235632816579,6.574874936454504,68.51434326171875,56.56874084472656,0.20106248557567596,0.626121461391449
DICM,14.JPG,clahe,0.0970684575099571,0.15182124283307208,4.422476291656494,0.044051157920023225,0.014545158151707618,0.010960887262943766,7.875277389774351,37.86834716796875,45.70125198364258,0.3102767765522003,0.6432846784591675
DICM,14.JPG,gamma,0.08862621830958946,0.1374037408472343,4.769631862640381,0.04943025596899592,0.008820692058226545,0.010250033094815788,7.705969074304983,42.55877685546875,44.96572494506836,0.28603553771972656,0.7333106994628906
DICM,14.JPG,log,0.06048374550015319,0.12087970077830336,4.196974754333496,0.04850273007146116,0.008025960304707386,0.0061813814436303734,7.459885348505696,17.27459716796875,44.496212005615234,0.3181406855583191,0.7364408373832703
DICM,14.JPG,retinex,0.5766198850145527,0.30363661976544537,6.898083686828613,0.36434341085669486,0.6202313343644922,0.12477040954184962,11.796433041267683,80.71014404296875,46.365753173828125,0.2229822278022766,0.5463484525680542
DICM,14.JPG,hist_eq,0.4204841763365502,0.3030847067134887,4.775086402893066,0.2372584938558726,0.24295665100660505,0.08247431990126244,10.57937313082493,73.50750732421875,52.669578552246094,0.25847527384757996,0.6959543228149414
DICM,15.JPG,clahe,0.44003397623697915,0.28929990922893417,7.770471096038818,0.16674569064166378,0.04780937543606134,0.01744128302550055,4.959525736737952,23.40447998046875,63.644309997558594,0.49267879128456116,0.62416672706604
DICM,15.JPG,gamma,0.48551893047257966,0.2931642582311929,7.7448625564575195,0.1298891887378054,0.02186520546677235,0.011027927415976949,5.212105125329788,21.15936279296875,59.756324768066406,0.4722374379634857,0.5382348895072937
DICM,15.JPG,log,0.4372554405062806,0.31304832154306683,7.714914798736572,0.14271976431663289,0.02554583209668462,0.01131109588055006,5.31094865934485,21.62078857421875,58.625465393066406,0.48390328884124756,0.5604991912841797
DICM,15.JPG,retinex,0.8925583783318015,0.10574533742040997,5.450078010559082,0.08363118201129477,0.02546798311572082,0.008182352253689336,5.662596129597339,37.11248779296875,48.14358901977539,0.2863468825817108,0.41970738768577576
DICM,15.JPG,hist_eq,0.4973559809666054,0.2905363136020634,7.944067001342773,0.09194053456562234,0.021292947413516543,0.012215477702566632,5.0589774575972095,23.32733154296875,56.64350128173828,0.4129674732685089,0.46563878655433655
DICM,16.JPG,clahe,0.3030443378523284,0.2413185807217725,7.392756462097168,0.124831887782059,0.02456139858857926,0.017819298070217194,3.248766690263037,14.26776123046875,51.32258224487305,0.37075892090797424,0.5628888010978699
DICM,16.JPG,gamma,0.35146657906326595,0.24947227793054214,7.563974380493164,0.13032162832530186,0.007394956561712772,0.010197365944288961,3.1760134260125503,8.91326904296875,52.24715042114258,0.38778287172317505,0.5289177894592285
DICM,16.JPG,log,0.2933617086971507,0.262575143940169,7.454829216003418,0.13192327022097863,0.008241603891807439,0.010034514239212523,3.2924302020232314,5.73114013671875,53.127620697021484,0.39259234070777893,0.569720447063446
DICM,16.JPG,retinex,0.8532233144722733,0.03686923705018729,5.151435852050781,0.08464252412563812,0.0020582903915159017,0.005385558960332305,5.503911040001511,13.75067138671875,42.75062942504883,0.3546554446220398,0.44878169894218445
DICM,16.JPG,hist_eq,0.505247288124234,0.28079077977165273,7.909567832946777,0.1294788019006011,0.012839298998505187,0.015222101596118054,3.4631352871129097,11.30291748046875,43.50640869140625,0.36094778776168823,0.3678608536720276
DICM,17.JPG,clahe,0.20788705863204657,0.19619738618634439,6.795446395874023,0.24080354187315986,0.012973674001059038,0.010405393570670714,5.863477025276276,20.45330810546875,47.904747009277344,0.3243655562400818,0.6373681426048279
DICM,17.JPG,gamma,0.2250043083639706,0.19568334046466201,6.819099426269531,0.23307087099151133,0.0067858444685914895,0.007762335537337505,6.053092859445346,16.89569091796875,51.14664077758789,0.3283345401287079,0.6645876169204712
