rule,entropy,contrast,sharpness,value,label
1,low,low,low,3.3,Poor
2,low,low,med,16.2,Poor
3,low,low,high,38.6,Fair
4,low,med,low,20.2,Poor
5,low,med,med,37.3,Fair
6,low,med,high,59.4,Good
7,low,high,low,37.5,Fair
8,low,high,med,37.7,Fair
9,low,high,high,55.7,Good
10,med,low,low,5.1,Poor
11,med,low,med,68.6,Good
12,med,low,high,60.2,Good
13,med,med,low,20.0,Poor
14,med,med,med,70.8,Good
15,med,med,high,74.4,Good
16,med,high,low,36.2,Fair
17,med,high,med,76.3,Excellent
18,med,high,high,77.1,Excellent
19,high,low,low,0.0,Poor
20,high,low,med,79.0,Excellent
21,high,low,high,72.1,Good
22,high,med,low,25.8,Fair
23,high,med,med,80.0,Excellent
24,high,med,high,95.2,Excellent
25,high,high,low,49.1,Fair
26,high,high,med,98.8,Excellent
27,high,high,high,100.0,Excellent
