rule,psnr,ssim,entropy,original_label,calibrated_value,calibrated_label,changed
1,low,low,low,Poor,0.4,Poor,False
2,low,low,med,Poor,0.0,Poor,False
3,low,low,high,Poor,23.8,Poor,False
4,low,med,low,Poor,23.8,Poor,False
5,low,med,med,Fair,17.7,Poor,True
6,low,med,high,Fair,53.2,Good,True
7,low,high,low,Fair,19.4,Poor,True
8,low,high,med,Fair,43.0,Fair,False
9,low,high,high,Fair,49.6,Fair,False
10,med,low,low,Poor,6.4,Poor,False
11,med,low,med,Fair,26.1,Fair,False
12,med,low,high,Fair,40.9,Fair,False
13,med,med,low,Fair,22.6,Poor,True
14,med,med,med,Fair,45.4,Fair,False
15,med,med,high,Good,71.7,Good,False
16,med,high,low,Fair,47.4,Fair,False
17,med,high,med,Good,64.5,Good,False
18,med,high,high,Good,89.6,Excellent,True
19,high,low,low,Fair,20.2,Poor,True
20,high,low,med,Fair,44.5,Fair,False
21,high,low,high,Fair,86.8,Excellent,True
22,high,med,low,Fair,33.8,Fair,False
23,high,med,med,Good,61.6,Good,False
24,high,med,high,Good,91.8,Excellent,True
25,high,high,low,Fair,75.2,Excellent,True
26,high,high,med,Good,83.6,Excellent,True
27,high,high,high,Excellent,100.0,Excellent,False
