frame,t_s,cap_ms,enh_ms,assess_ms,total_ms,score
0,0.0111,2.9447,6.9459,1.2088,11.0994,52.9580
1,0.0220,2.7513,6.9266,1.2205,10.8984,52.9580
2,0.0329,2.8139,6.8912,1.2028,10.9079,52.9580
3,0.0441,2.9714,6.9762,1.2186,11.1662,52.9580
4,0.0549,2.7406,6.8881,1.2026,10.8313,52.9580
5,0.0659,2.7610,6.9081,1.2739,10.9430,52.9580
6,0.0767,2.7755,6.8898,1.2077,10.8730,52.9580
7,0.0876,2.7235,6.8956,1.2044,10.8235,52.9580
8,0.0985,2.7924,6.9349,1.2080,10.9353,52.9580
9,0.1094,2.7724,6.8845,1.2141,10.8710,52.9580
10,0.1204,2.8269,6.9590,1.2234,11.0093,52.9580
11,0.1313,2.7525,6.9007,1.2138,10.8670,52.9580
12,0.1422,2.8035,6.9080,1.1995,10.9110,52.9580
13,0.1530,2.7833,6.8805,1.2014,10.8652,52.9580
14,0.1639,2.7980,6.9043,1.2006,10.9029,52.9580
15,0.1748,2.7222,6.8868,1.2446,10.8536,52.9580
16,0.1857,2.8086,6.8808,1.2011,10.8905,52.9580
17,0.1962,2.7396,6.5371,1.2267,10.5034,52.9580
18,0.2066,2.7641,6.4166,1.2541,10.4348,52.9580
19,0.2173,2.8988,6.5493,1.2342,10.6823,52.9580
20,0.2280,2.9220,6.4983,1.2214,10.6417,52.9580
21,0.2386,2.7963,6.5788,1.2112,10.5863,52.9580
22,0.2490,2.7543,6.4442,1.2053,10.4038,52.9580
23,0.2595,2.7655,6.5528,1.2109,10.5292,52.9580
24,0.2700,2.7914,6.4920,1.2018,10.4852,52.9580
25,0.2804,2.7600,6.4565,1.2118,10.4283,52.9580
26,0.2909,2.7703,6.5057,1.2115,10.4875,52.9580
27,0.3014,2.7445,6.4838,1.2132,10.4415,52.9580
28,0.3117,2.7803,6.4066,1.2004,10.3873,52.9580
29,0.3222,2.7542,6.4892,1.2145,10.4579,52.9580
30,0.3326,2.7581,6.4745,1.2101,10.4427,52.9580
31,0.3430,2.7426,6.4542,1.2046,10.4014,52.9580
32,0.3537,2.8316,6.5704,1.2432,10.6452,52.9580
33,0.3643,2.7982,6.5113,1.2333,10.5428,52.9580
34,0.3746,2.7694,6.4017,1.2218,10.3929,52.9580
35,0.3851,2.8025,6.4418,1.2059,10.4502,52.9580
36,0.3955,2.7605,6.4165,1.2042,10.3812,52.9580
37,0.4059,2.7714,6.3995,1.2101,10.3810,52.9580
38,0.4163,2.7612,6.4405,1.2053,10.4070,52.9580
39,0.4267,2.7729,6.4225,1.2193,10.4147,52.9580
40,0.4371,2.7393,6.4151,1.2039,10.3583,52.9580
41,0.4475,2.8316,6.4191,1.2146,10.4653,52.9580
42,0.4581,2.7571,6.5251,1.2584,10.5406,52.9580
43,0.4688,2.7140,6.8020,1.2133,10.7293,52.9580
44,0.4796,2.9128,6.6524,1.2201,10.7853,52.9580
45,0.4902,2.8418,6.5221,1.2465,10.6104,52.9580
46,0.5008,2.7504,6.6226,1.2344,10.6074,52.9580
47,0.5115,2.7649,6.7331,1.2056,10.7036,52.9580
48,0.5220,2.8229,6.4092,1.1930,10.4251,52.9580
49,0.5323,2.7290,6.4064,1.2168,10.3522,52.9580
